s_data,s_p_id,s_sk_id,s_cena_sprzedazy,s_cena_zakupu,s_liczba_towarow,s_liczba_klientow
2013-09-14,88,13,2.6,1.4,3,3
2013-09-14,67,11,2.6,1.3,5,5
2013-09-14,8,2,2.45,1.47,7,7
2013-09-14,55,11,2.6,1.3,6,6
2013-09-14,95,13,3.74,2.36,6,6
2013-09-14,1,13,2.45,1.32,3,3
2013-09-14,54,16,2.6,1.56,6,6
2013-09-14,68,12,2.6,1.56,3,3
2013-09-14,27,11,2.45,1.23,7,7
2013-09-14,10,11,2.45,1.23,6,6
2013-09-14,10,13,2.45,1.32,9,9
2013-09-14,78,11,2.6,1.3,7,7
2013-09-14,1,16,2.45,1.47,7,7
2013-09-14,102,11,3.74,2.24,3,3
2013-09-14,24,2,2.45,1.47,1,1
2013-09-15,43,12,2.45,1.47,1,1
2013-09-15,91,11,2.5,1.25,3,3
2013-09-15,61,2,2.6,1.56,7,7
2013-09-15,49,20,2.45,1.52,9,9
2013-09-15,12,13,2.45,1.32,6,6
2013-09-15,126,10,20.99,14.99,5,5
2013-09-15,49,13,2.45,1.32,9,9
2013-09-15,63,11,2.6,1.3,7,7
2013-09-15,50,10,2.6,1.56,7,7
2013-09-15,124,11,20.99,13.49,1,1
2013-09-15,69,16,2.6,1.56,5,5
2013-09-15,64,12,2.6,1.56,5,5
2013-09-15,89,10,2.6,1.56,3,3
2013-09-15,67,13,2.6,1.4,1,1
2013-09-15,25,11,2.45,1.23,9,9
2013-09-15,1,11,2.45,1.23,1,1
2013-09-15,49,11,2.45,1.23,4,4
2013-09-15,89,20,2.6,1.61,1,1
2013-09-15,56,12,2.6,1.56,1,1
2013-09-15,25,20,2.45,1.52,3,3
2013-09-15,29,11,2.45,1.23,7,7
2013-09-16,69,13,2.6,1.4,1,1
2013-09-16,2,11,2.45,1.23,6,6
2013-09-16,132,13,5.6,3.62,7,7
2013-09-16,1,10,2.45,1.47,9,9
2013-09-16,41,10,2.45,1.47,1,1
2013-09-16,88,13,2.6,1.4,1,1
2013-09-16,4,13,2.45,1.32,5,5
2013-09-16,106,20,3.74,2.6,4,4
2013-09-16,102,11,3.74,2.24,1,1
2013-09-16,14,13,2.45,1.32,5,5
2013-09-16,91,13,2.5,1.35,9,9
2013-09-16,36,16,2.45,1.47,1,1
2013-09-16,103,11,3.74,2.24,5,5
2013-09-16,108,16,3.74,3.74,3,3
2013-09-16,19,2,2.45,1.47,1,1
2013-09-16,1,16,2.45,1.47,5,5
2013-09-16,94,11,3.74,2.24,7,7
2013-09-16,31,13,2.45,1.32,8,8
2013-09-16,82,10,2.6,1.56,3,3
2013-09-16,85,13,2.6,1.41,4,4
2013-09-16,112,16,20.99,14.99,1,1
2013-09-16,48,13,2.45,1.32,10,10
2013-09-16,79,13,2.6,1.4,9,9
2013-09-16,13,12,2.45,1.47,3,3
2013-09-16,57,11,2.6,1.3,7,7
2013-09-16,32,13,2.45,1.32,7,7
2013-09-16,111,13,3.74,2.36,7,7
2013-09-16,69,11,2.6,1.3,10,10
2013-09-16,95,20,3.74,2.6,6,6
2013-09-16,108,16,3.74,3.74,3,3
2013-09-16,121,16,20.99,14.99,1,1
2013-09-16,19,10,2.45,1.47,5,5
2013-09-16,63,2,2.6,1.56,4,4
2013-09-16,84,13,2.6,1.4,5,5
2013-09-16,54,13,2.6,1.4,7,7
2013-09-16,130,11,5.6,3.45,6,6
2013-09-16,61,11,2.6,1.3,3,3
2013-09-16,88,11,2.6,1.3,3,3
2013-09-16,20,12,2.45,1.47,9,9
2013-09-16,133,11,5.6,3.45,9,9
2013-09-16,37,2,2.45,1.47,1,1
2013-09-16,100,10,3.74,3.74,1,1
2013-09-16,37,11,2.45,1.23,5,5
2013-09-16,128,11,5.6,3.45,1,1
2013-09-16,129,13,5.6,3.62,9,9
2013-09-16,118,11,20.99,13.49,7,7
2013-09-16,76,13,2.6,1.4,7,7
2013-09-16,68,13,2.6,1.41,4,4
2013-09-16,103,11,3.74,2.24,9,9
2013-09-16,106,11,3.74,2.24,1,1
2013-09-16,40,11,2.45,1.23,10,10
2013-09-16,118,11,20.99,13.49,5,5
2013-09-16,80,2,2.6,1.56,7,7
2013-09-16,95,12,3.74,3.74,6,6
2013-09-16,114,16,20.99,14.99,3,3
2013-09-16,85,13,2.6,1.4,6,6
2013-09-16,39,11,2.45,1.23,10,10
2013-09-16,17,16,2.45,1.47,10,10
2013-09-16,1,10,2.45,1.47,5,5
2013-09-16,59,2,2.6,1.56,8,8
2013-09-16,31,12,2.45,1.47,10,10
2013-09-16,70,13,2.6,1.4,8,8
2013-09-16,1,16,2.45,1.47,8,8
2013-09-16,29,11,2.45,1.23,5,5
2013-09-16,69,12,2.6,1.56,3,3
2013-09-16,113,16,20.99,14.99,7,7
2013-09-17,9,20,2.45,1.52,1,1
2013-09-17,58,13,2.6,1.4,7,7
2013-09-17,94,11,3.74,2.24,9,9
2013-09-17,121,10,20.99,14.99,7,7
2013-09-17,37,10,2.45,1.47,3,3
2013-09-17,76,20,2.6,1.61,5,5
2013-09-17,121,10,20.99,14.99,9,9
2013-09-17,85,10,2.6,1.56,1,1
2013-09-17,70,11,2.6,1.3,3,3
2013-09-17,139,16,0.6,0.36,9,9
2013-09-17,13,16,2.45,1.47,6,6
2013-09-17,138,12,0.73,0.44,13,10
2013-09-17,85,11,2.6,1.3,1,1
2013-09-17,88,12,2.6,1.56,1,1
2013-09-17,46,13,2.45,1.32,8,8
2013-09-17,124,13,20.99,14.09,8,8
2013-09-17,118,11,20.99,13.49,4,4
2013-09-17,75,11,2.6,1.3,3,3
2013-09-17,105,13,3.74,2.36,1,1
2013-09-17,2,2,2.45,1.47,5,5
2013-09-17,92,13,3.74,2.36,6,6
2013-09-17,26,11,2.45,1.23,1,1
2013-09-17,132,16,5.6,3.88,1,1
2013-09-17,37,13,2.45,1.32,7,7
2013-09-17,13,16,2.45,1.47,1,1
2013-09-17,1,16,2.45,1.47,1,1
2013-09-17,139,20,0.42,0.26,10,7
2013-09-17,88,13,2.6,1.4,9,9
2013-09-17,8,11,2.45,1.23,1,1
2013-09-17,49,13,2.45,1.32,7,7
2013-09-17,83,11,2.6,1.3,5,5
2013-09-17,29,13,2.45,1.32,1,1
2013-09-18,70,16,2.6,1.56,4,4
2013-09-18,137,10,0.4,0.24,9,6
2013-09-18,55,11,2.6,1.3,7,7
2013-09-18,10,13,2.45,1.32,9,9
2013-09-18,26,13,2.45,1.32,9,9
2013-09-18,10,13,2.45,1.32,1,1
2013-09-18,34,13,2.45,1.32,1,1
2013-09-18,1,13,2.45,1.32,7,7
2013-09-18,91,13,2.5,1.35,1,1
2013-09-18,78,12,2.6,1.56,7,7
2013-09-18,7,12,2.45,1.47,1,1
2013-09-18,21,11,2.45,1.23,8,8
2013-09-18,3,2,2.45,1.47,7,7
2013-09-19,84,11,2.6,1.3,5,5
2013-09-19,115,11,20.99,13.49,1,1
2013-09-19,130,20,5.61,3.97,2,2
2013-09-19,55,20,2.6,1.61,1,1
2013-09-19,80,12,2.6,1.56,6,6
2013-09-19,26,12,2.45,1.47,3,3
2013-09-19,113,13,20.99,14.09,9,9
2013-09-19,138,11,0.48,0.24,2,1
2013-09-19,43,11,2.45,1.23,5,5
2013-09-19,91,13,2.5,1.35,5,5
2013-09-19,48,13,2.45,1.32,9,9
2013-09-19,8,11,2.45,1.23,5,5
2013-09-19,49,10,2.45,1.47,3,3
2013-09-19,9,20,2.45,1.52,4,4
2013-09-19,124,16,20.99,14.99,6,6
2013-09-19,134,13,5.6,3.62,8,8
2013-09-19,130,11,5.6,3.45,9,9
2013-09-19,133,11,5.61,3.45,2,2
2013-09-19,94,13,3.74,2.36,1,1
2013-09-19,88,20,2.6,1.61,10,10
2013-09-19,125,16,20.99,14.99,7,7
2013-09-19,94,13,3.74,2.36,9,9
2013-09-19,103,16,3.74,3.74,3,3
2013-09-19,34,13,2.45,1.32,7,7
2013-09-19,103,11,3.74,2.24,4,4
2013-09-19,70,10,2.6,1.56,1,1
2013-09-19,118,11,20.99,13.49,1,1
2013-09-19,34,13,2.45,1.32,8,8
2013-09-19,1,13,2.45,1.32,3,3
2013-09-19,40,13,2.45,1.32,1,1
2013-09-19,94,11,3.74,2.24,3,3
2013-09-19,141,12,0.43,0.26,7,5
2013-09-19,88,2,2.6,1.56,7,7
2013-09-20,133,2,5.6,3.88,9,9
2013-09-20,77,11,2.6,1.3,9,9
2013-09-20,1,16,2.45,1.47,3,3
2013-09-20,133,11,5.6,3.45,3,3
2013-09-20,91,13,2.5,1.35,1,1
2013-09-20,82,13,2.6,1.4,6,6
2013-09-20,79,11,2.6,1.3,1,1
2013-09-20,58,11,2.6,1.3,7,7
2013-09-20,94,11,3.74,2.24,5,5
2013-09-20,97,12,3.74,3.74,1,1
2013-09-20,107,13,3.74,2.36,6,6
2013-09-21,58,11,2.6,1.3,9,9
2013-09-21,74,11,2.6,1.3,5,5
2013-09-21,13,11,2.45,1.23,7,7
2013-09-21,39,20,2.45,1.52,5,5
2013-09-21,10,12,2.45,1.47,7,7
2013-09-21,22,11,2.45,1.23,1,1
2013-09-21,25,20,2.45,1.52,5,5
2013-09-21,130,10,5.6,3.88,3,3
