s_data,s_p_id,s_sk_id,s_cena_sprzedazy,s_cena_zakupu,s_liczba_towarow,s_liczba_klientow
2013-09-14,134,1,5.6,3.88,9,9
2013-09-14,10,19,2.45,1.47,5,5
2013-09-14,78,1,2.6,1.56,2,2
2013-09-14,36,1,2.45,1.47,7,7
2013-09-14,77,19,2.6,1.56,4,4
2013-09-14,3,3,2.45,0.61,5,5
2013-09-14,106,3,3.74,1.5,9,9
2013-09-14,112,7,20.99,14.99,8,8
2013-09-14,112,7,20.99,14.99,4,4
2013-09-14,88,6,2.6,1.82,7,7
2013-09-14,29,8,2.45,1.76,5,5
2013-09-14,34,18,2.45,1.18,5,5
2013-09-14,31,3,2.45,0.61,4,4
2013-09-14,124,8,20.99,16.79,10,10
2013-09-14,100,3,3.74,1.5,7,7
2013-09-14,73,1,2.6,1.56,6,6
2013-09-14,14,3,2.45,0.61,1,1
2013-09-14,88,17,2.6,1.04,3,3
2013-09-14,80,7,2.6,1.56,5,5
2013-09-14,64,6,2.6,1.82,9,9
2013-09-14,16,7,2.45,1.47,7,7
2013-09-14,60,1,2.6,1.56,1,1
2013-09-14,18,1,2.45,1.47,7,7
2013-09-15,119,17,20.99,11.99,8,8
2013-09-15,39,17,2.45,0.98,5,5
2013-09-15,58,6,2.6,1.82,10,10
2013-09-15,105,17,3.74,1.94,7,7
2013-09-15,120,6,20.99,16.49,1,1
2013-09-15,127,6,5.6,4.31,1,1
2013-09-15,95,18,3.74,2.18,9,9
2013-09-15,39,3,2.45,0.61,6,6
2013-09-15,65,1,2.6,1.56,1,1
2013-09-15,21,1,2.45,1.47,4,4
2013-09-15,29,3,2.45,0.61,5,5
2013-09-15,67,1,2.6,1.56,10,10
2013-09-15,25,7,2.45,1.47,5,5
2013-09-15,135,3,5.6,2.37,10,10
2013-09-15,53,17,2.6,1.04,7,7
2013-09-15,13,8,2.45,1.77,4,4
2013-09-15,51,1,2.6,1.56,2,2
2013-09-15,15,19,2.45,1.47,10,10
