s_data,s_p_id,s_sk_id,s_cena_sprzedazy,s_cena_zakupu,s_liczba_towarow,s_liczba_klientow
2013-09-14,73,9,2.6,1.56,9,9
2013-09-14,11,5,2.45,1.47,1,1
2013-09-14,98,9,3.74,3.74,1,1
2013-09-14,35,4,2.45,1.64,6,6
2013-09-14,95,5,3.74,3.74,5,5
2013-09-14,122,5,20.99,14.99,2,2
2013-09-14,136,5,6.49,4.49,5,5
2013-09-14,49,5,2.45,1.47,6,6
2013-09-14,115,5,20.99,14.99,5,5
2013-09-14,29,9,2.45,1.47,1,1
2013-09-14,79,5,2.6,1.56,7,7
2013-09-14,131,14,5.6,3.75,5,5
2013-09-14,6,5,2.45,1.47,1,1
2013-09-14,76,14,2.6,1.48,7,7
2013-09-14,60,5,2.6,1.56,1,1
2013-09-14,135,5,5.6,3.88,1,1
2013-09-14,121,5,20.99,14.99,9,9
2013-09-14,31,9,2.45,1.47,10,10
2013-09-15,43,14,2.45,1.4,1,1
2013-09-15,131,15,5.6,3.88,3,3
2013-09-15,94,5,3.74,3.74,9,9
2013-09-15,42,5,2.45,1.47,5,5
2013-09-15,108,5,3.74,3.74,6,6
2013-09-15,16,14,2.45,1.4,1,1
2013-09-15,91,5,2.5,1.5,9,9
2013-09-15,52,5,2.6,1.56,1,1
2013-09-15,139,9,0.23,0.14,2,1
2013-09-15,130,15,5.6,3.88,10,10
2013-09-15,54,5,2.6,1.56,7,7
2013-09-15,1,15,2.45,1.47,6,6
2013-09-15,54,15,2.6,1.56,1,1
2013-09-15,113,5,20.99,14.99,7,7
2013-09-15,79,5,2.6,1.56,2,2
2013-09-16,52,14,2.6,1.48,3,3
2013-09-16,99,15,3.74,3.74,2,2
2013-09-16,58,5,2.6,1.56,1,1
2013-09-16,35,9,2.45,1.47,1,1
2013-09-16,48,5,2.45,1.47,5,5
2013-09-16,100,14,3.74,2.45,3,3
2013-09-16,38,5,2.45,1.47,9,9
2013-09-16,68,14,2.6,1.48,6,6
2013-09-16,100,15,3.74,3.74,6,6
2013-09-16,93,15,3.74,3.74,10,10
2013-09-16,30,5,2.45,1.47,5,5
2013-09-16,139,9,0.3,0.18,12,6
2013-09-16,25,5,2.45,1.47,1,1
2013-09-16,2,5,2.45,1.47,1,1
2013-09-16,116,9,20.99,14.99,1,1
2013-09-16,44,9,2.45,1.47,7,7
2013-09-16,7,9,2.45,1.47,7,7
2013-09-16,73,14,2.6,1.48,5,5
2013-09-16,136,14,6.49,4.34,5,5
2013-09-16,127,9,5.6,3.88,9,9
2013-09-16,34,5,2.45,1.47,1,1
2013-09-16,22,5,2.45,1.47,3,3
2013-09-16,126,14,20.99,14.54,1,1
2013-09-16,67,14,2.6,1.48,5,5
2013-09-16,120,5,20.99,14.99,3,3
2013-09-16,52,5,2.6,1.56,1,1
2013-09-16,82,5,2.6,1.56,1,1
2013-09-16,61,15,2.6,1.56,1,1
2013-09-16,123,9,20.99,14.99,3,3
2013-09-16,88,9,2.6,1.56,7,7
2013-09-16,71,5,2.6,1.56,1,1
2013-09-16,102,14,3.74,2.45,1,1
2013-09-16,64,5,2.6,1.56,8,8
2013-09-16,107,9,3.74,3.74,1,1
2013-09-16,78,9,2.6,1.56,1,1
2013-09-16,79,9,2.6,1.56,1,1
2013-09-16,48,15,2.45,1.47,2,2
2013-09-16,1,15,2.45,1.47,5,5
2013-09-16,27,15,2.45,1.47,2,2
2013-09-16,34,5,2.45,1.47,1,1
2013-09-17,95,9,3.74,3.74,4,4
